time,cpu
1529839404,4
1529841148,4
1529842972,4
1529844774,4
1529846575,4
1529848351,3
1529850165,3
1529851961,4
1529853751,4
1529855594,4
1529857359,4
1529859270,4
1529861007,4
1529862760,4
1529864557,4
1529866345,4
1529868156,4
1529869958,4
1529871766,4
1529873594,4
1529875431,4
1529877152,4
1529878935,4
1529880742,4
1529882529,4
1529884337,4
1529886166,4
1529887992,4
1529889806,4
1529891556,4
1529893356,4
1529895138,4
1529896954,4
1529898752,4
1529900541,4
1529902358,4
1529904147,4
1529905966,4
1529907787,4
1529909633,4
1529911490,4
1529913353,4
1529915240,4
1529917045,4
1529918744,4
1529920641,4
1529922397,4
1529924306,15
1529926048,32
1529927896,15
1529929528,13
1529931381,12
1529933111,13
1529934879,13
1529936696,11
1529938561,12
1529940928,14
1529942215,13
1529944102,17
1529945648,14
1529947427,16
1529949543,14
1529951327,13
1529952811,12
1529954619,12
1529956469,15
1529958882,13
1529960297,12
1529961907,13
1529963631,16
1529965489,16
1529967377,15
1529969095,16
1529970847,15
1529972641,13
1529974449,12
1529976283,13
1529978062,14
1529979844,13
1529981619,11
1529983396,10
1529985557,12
1529987395,15
1529988817,20
1529990605,14
1529992468,14
1529994293,13
1529996292,12
1529997966,13
1529999902,13
1530001501,14
1530003277,18
1530005169,20
1530006860,18
1530008731,16
1530010940,16
1530012279,14
1530014101,12
1530015855,15
1530017644,16
1530019409,13
1530021473,12
1530023343,12
1530024927,13
1530026618,13
1530028424,14
1530030220,15
1530032084,19
1530034037,15
1530035657,13
1530037395,12
1530039275,13
1530041064,13
1530042876,12
1530044711,16
1530046650,13
1530048247,13
1530050188,14
1530051828,12
1530053621,13
1530055416,14
1530057215,16
1530059136,12
1530061077,17
1530062839,17
1530064428,15
1530066210,13
1530067988,15
1530069793,19
1530071622,14
1530073543,22
1530075193,15
1530078805,17
1530080637,18
1530082476,15
1530084293,15
1530086101,12
1530087848,13
1530089713,17
1530091591,14
1530093276,11
1530095103,12
1530096978,11
1530098721,20
1530100668,16
1530102402,12
1530104061,12
1530105997,13
1530107799,16
1530109445,19
1530111393,13
1530113055,14
1530115153,12
1530116848,11
1530118473,12
1530120210,17
1530122058,14
1530123835,15
1530125666,16
1530127489,14
1530129265,12
1530131061,12
1530132899,14
1530134716,13
1530136616,14
1530138307,12
1530140064,15
1530141848,13
1530143667,13
1530145497,18
1530147322,21
1530149074,17
1530150823,16
1530152614,15
1530154388,13
1530156217,18
1530158015,13
1530159792,12
1530161620,21
1530163452,16
1530165254,12
1530167085,15
1530168879,17
1530170775,17
1530172615,13
1530174525,12
1530176241,12
1530177938,14
1530179730,13
1530181478,13
1530183581,14
1530185124,16
1530186956,15
1530188748,16
1530190742,16
1530192260,17
1530194082,13
1530195850,12
1530197656,11
1530199475,13
1530201243,14
1530203078,15
1530204934,12
1530206645,15
